"","OPEID6","INSTNM","STATE","CONTROL","NOTWORKING","WORKING","MEAN_EARNINGS","MEDIAN_EARNINGS","PERCENT10_EARNINGS","PERCENT25_EARNINGS","PERCENT75_EARNINGS","PERCENT90_EARNINGS","MEDIAN_DEBT","NUM_DEBT","TUITION","DEFAULT2","YEAR"
"162",1138,"California State University-East Bay","CA",1,241,2025,58100,54400,13600,34800,74600,100500,7868,3322,NA,0.024,2007
"163",1139,"California State University-Long Beach","CA",1,504,4878,55600,53000,14000,32700,73000,95400,8250,8031,NA,0.027,2007
"164",1140,"California State University-Los Angeles","CA",1,337,3463,50900,48900,13100,30000,67600,87700,5500,4631,NA,0.018,2007
"165",1153,"California State University-Northridge","CA",1,720,5817,52200,48700,11400,28000,70000,92300,8149,9340,NA,0.032,2007
"166",1150,"California State University-Sacramento","CA",1,520,4667,55000,51800,13200,32500,71500,97300,9500,7978,NA,0.025,2007
"167",1312,"University of California-Berkeley","CA",1,491,4302,78200,65400,16800,41400,99200,140400,11000,6847,NA,0.014,2007
"168",1313,"University of California-Davis","CA",1,338,4124,68600,62000,20200,42500,89400,118900,8137.5,8732,NA,0.012,2007
"169",1314,"University of California-Irvine","CA",1,353,3699,66300,61000,16900,39500,84900,114700,10500,5969,NA,0.01,2007
"170",1315,"University of California-Los Angeles","CA",1,652,5559,72500,62500,16500,40400,91500,129300,10633,8409,NA,0.009,2007
"171",1316,"University of California-Riverside","CA",1,262,2533,61800,57500,17900,37200,77800,104600,10500,6143,NA,0.024,2007
"172",1317,"University of California-San Diego","CA",1,334,3710,68900,60300,18900,41000,85900,118700,11789,6712,NA,0.012,2007
"173",1320,"University of California-Santa Barbara","CA",1,371,3925,62800,56000,15900,36200,79200,107400,11000,6043,NA,0.015,2007
"174",1321,"University of California-Santa Cruz","CA",1,264,2714,54100,48500,12700,29000,70300,97900,11000,4743,NA,0.017,2007
"175",22202,"Le Cordon Bleu College of Culinary Arts-San Francisco","CA",3,103,585,47500,40900,8200,21600,62200,87000,7125,1766,NA,0.043,2007
"176",1132,"California Institute of the Arts","CA",2,43,257,44300,30400,5000,14200,58000,93500,17125,391,NA,0.028,2007
"177",1134,"The California Maritime Academy","CA",1,16,160,80600,81200,23100,46800,104300,132300,11000,280,NA,0.019,2007
"178",8903,"College of the Canyons","CA",1,74,406,45500,36200,5800,18500,62800,91100,3500,485,NA,0.072,2007
"179",6731,"Casa Loma College-Van Nuys","CA",2,31,219,51300,47000,13900,27800,64100,90400,9079,621,NA,0.048,2007
"180",23328,"CET-San Diego","CA",2,312,1216,27000,24000,4600,12500,38000,53400,4192.5,2718,NA,0.119,2007
"181",23328,"CET-Sobrato","CA",2,312,1216,27000,24000,4600,12500,38000,53400,4192.5,2718,NA,0.119,2007
"182",23328,"CET-El Centro","CA",2,312,1216,27000,24000,4600,12500,38000,53400,4192.5,2718,NA,0.119,2007
"183",23328,"CET-San Bernardino","CA",2,312,1216,27000,24000,4600,12500,38000,53400,4192.5,2718,NA,0.119,2007
"184",23328,"CET-Watsonville","CA",2,312,1216,27000,24000,4600,12500,38000,53400,4192.5,2718,NA,0.119,2007
"185",23328,"CET-Gilroy","CA",2,312,1216,27000,24000,4600,12500,38000,53400,4192.5,2718,NA,0.119,2007
"186",23328,"CET-Salinas","CA",2,312,1216,27000,24000,4600,12500,38000,53400,4192.5,2718,NA,0.119,2007
"187",1161,"Cerritos College","CA",1,522,2876,39700,35600,7800,20100,52400,72900,3500,648,NA,0.076,2007
"188",10111,"Cerro Coso Community College","CA",1,175,455,32300,25200,3300,11800,45900,67400,3500,241,NA,0.224,2007
"189",1162,"Chabot College","CA",1,316,1397,43600,37700,5800,17000,59400,90400,3500,369,NA,0.103,2007
"190",1163,"Chaffey College","CA",1,233,1140,38300,33600,6900,17800,53700,72900,2625,264,NA,0.117,2007
"191",1164,"Chapman University","CA",2,299,2657,57500,57800,12400,34000,75000,94400,12143,4917,NA,0.014,2007
"192",10365,"Charles R Drew University of Medicine and Science","CA",2,20,178,75400,75800,14100,38700,101100,135400,14125,152,NA,0.046,2007
"193",20705,"Concordia University-Irvine","CA",2,77,404,54600,52600,11000,31400,75400,92300,10946,825,NA,0.012,2007
"194",12031,"San Diego Christian College","CA",2,46,243,41600,38800,7900,20100,56100,78600,10500,354,NA,0.013,2007
"195",1166,"Citrus College","CA",1,213,969,36300,32000,5500,14700,51900,72100,3500,397,NA,0.093,2007
"196",4502,"City College of San Francisco","CA",1,144,521,46400,39300,5900,20400,63900,94300,3750,1456,NA,0.118,2007
"197",1170,"Claremont McKenna College","CA",2,22,210,98200,73400,25500,47100,115100,173600,6925,178,NA,0.019,2007
"198",24973,"Milan Institute-Visalia","CA",3,179,669,28800,25100,3400,11100,39700,56900,6600,972,NA,0.124,2007
"199",20635,"Coastline Community College","CA",1,47,156,38200,33000,6300,12900,54600,74700,3500,222,NA,0.081,2007
"200",1177,"Cogswell College","CA",2,18,124,59200,54500,10500,27700,83900,110500,15250,71,NA,0.022,2007
"201",7296,"Coleman University","CA",2,187,1390,63000,59600,16100,37400,84200,108500,6625,616,NA,0.071,2007
"202",11696,"National Polytechnice College of Engineering and Oceaneering","CA",2,55,427,60700,51500,10500,26200,82700,119700,8001,401,NA,0.129,2007
"203",1197,"El Camino College-Compton Center","CA",1,355,1929,39400,34300,7400,16300,53300,73600,3500,506,NA,0.085,2007
"204",1190,"Contra Costa College","CA",1,208,706,40300,34400,6300,17400,52900,77000,3500,145,NA,0.14,2007
"205",7536,"Cosumnes River College","CA",1,291,998,36600,31900,4800,13600,51800,73800,3500,467,NA,0.068,2007
"206",9272,"Crafton Hills College","CA",1,146,651,41500,36600,5300,17300,59700,80200,2625,53,NA,0.032,2007
"207",1192,"Cuesta College","CA",1,204,915,41700,35200,4800,16100,57200,84200,3500,731,NA,0.057,2007
"208",21113,"Cuyamaca College","CA",1,167,539,31000,26700,3700,11600,42700,61300,2625,141,NA,0.153,2007
"209",21746,"Cynthias Beauty Academy","CA",3,113,300,18900,16100,3400,9200,25600,36200,5333.5,256,NA,0.093,2007
"210",1193,"Cypress College","CA",1,259,1221,41800,36800,6000,18400,57100,81900,4970,611,NA,0.161,2007
"211",4480,"De Anza College","CA",1,255,1262,51400,46600,7300,22000,71400,101300,3500,838,NA,0.081,2007
"212",1182,"College of the Desert","CA",1,290,1173,37200,33100,5900,15900,51000,72300,3500,240,NA,0.063,2007
"213",22980,"Design Institute of San Diego","CA",3,60,155,38700,33200,5700,13700,54900,78600,18000,271,NA,0.035,2007
"214",10727,"DeVry University-California","CA",3,1416,13591,52600,48700,13600,29600,71100,91900,6625,54203,NA,0.073,2007
